"","V1","V2","V3"
"4503",74,181,6
"4504",74,186,4
"4505",74,196,6
"4506",74,203,4
"4507",74,209,7
"4508",74,211,4
"4509",74,220,4
"4510",74,222,5
"4511",74,226,5
"4512",74,237,5
"4518",74,270,5
"4524",74,291,5
"4525",74,300,5
"4528",74,311,3
"4529",74,312,5
"4531",74,325,5
"4534",74,341,6
"4535",74,346,4
"4536",74,347,7
"4537",74,354,5
"4538",74,361,6
"4539",74,365,3
"4542",74,377,7
"4545",74,393,7
"4546",74,402,7
"4548",74,413,5
"4549",74,420,3
"4550",74,421,4
"4551",74,427,5
"4553",74,437,5
"4554",74,442,7
"4555",74,455,5
"4556",74,456,7
"4558",74,467,7
"4563",74,497,5
"4564",74,502,6
"4567",74,514,5
"4568",74,525,5
"4570",74,534,5
"4576",74,574,7
"4577",74,579,5
"4578",74,596,5
"4579",74,598,4
"4581",74,609,5
"4582",74,613,6
"4583",74,626,6
"4584",74,634,5
"4586",74,645,5
"4588",74,661,6
"4589",74,664,7
"4590",74,666,6
"4591",74,678,4
"4592",74,679,5
"4593",74,681,6
"4594",74,696,8
"4595",74,697,7
"4596",74,707,6
"4597",74,720,5
"4598",74,724,8
"4601",74,752,6
"4602",74,754,5
"4603",74,765,7
"4606",74,781,4
"4609",74,794,4
"4611",74,809,6
"4612",74,813,3
"4613",74,824,6
"4614",74,844,4
"4615",74,862,6
"4617",74,881,5
"4619",74,911,6
"4623",74,985,6
"4625",74,1028,3
"4626",74,1030,4
"4627",74,1044,6
"4628",74,1062,3
"4630",74,1074,5
"4631",74,1077,4
"4632",74,1085,5
"4634",74,1104,6
"4635",74,1112,7
"4637",74,1127,5
"4640",74,1175,5
"4641",74,1180,4
"4642",74,1185,3
"4643",74,1203,5
"4645",74,1227,7
"4647",74,1268,3
"4648",74,1274,6
"4649",74,1368,6
"4652",74,1419,7
"4653",74,1437,6
"4654",74,1465,8
"4655",74,1486,6
"4656",74,1492,7
"4657",74,1498,4
"4658",74,1543,6
"4659",74,1555,6
"4663",74,1620,6
"4665",74,1694,8
"4666",74,1704,6
"4668",74,1730,6
"4669",74,1744,6
"4670",74,1759,6
"4671",74,1763,6
"4674",74,1797,6
"4675",74,1799,5
"4677",74,1828,6
"4679",74,1846,6
"4682",74,1875,6
"4683",74,1896,7
"4686",74,1923,7
"4687",74,1947,9
"4690",74,1966,5
"4692",74,1986,7
"4694",74,2006,7
"4698",74,2069,7
"4701",74,2107,7
"4702",74,2118,5
"4704",74,2141,7
"4705",74,2158,7
"4708",74,2192,6
"4709",74,2196,5
"4710",74,2211,6
"4711",74,2230,5
"4712",74,2242,5
"4715",74,2295,7
"4717",74,2327,5
"4718",74,2332,6
"4719",74,2340,3
"4721",74,2381,5
"4722",74,2389,5
"4723",74,2413,4
"4724",74,2418,5
"4725",74,2452,6
"4727",74,2488,7
"4728",74,2498,6
"4730",74,2512,6
"4731",74,2523,7
"4732",74,2535,5
"4733",74,2585,6
"4734",74,2607,6
"4735",74,2682,4
"4736",74,2701,7
"4737",74,2827,7
"4738",74,2835,5
"4741",74,2857,7
"4743",74,2877,5
"4744",74,2880,5
"4745",74,2897,5
"4746",74,2908,6
"4747",74,2915,6
"4748",74,2919,5
"4752",74,2954,7
"4753",74,2984,7
"4758",74,3029,7
"4764",74,3085,6
"4765",74,3134,8
"4767",74,3261,7
"4770",74,3341,5
"4773",74,3375,7
"4774",74,3380,5
"4775",74,3388,6
"4776",74,3415,7
"4778",74,3435,7
"4779",74,3443,7
"4780",74,3486,7
"4781",74,3488,4
"4782",74,3524,5
"4784",74,3570,7
"4786",74,3626,7
"4787",74,3746,5
"4788",74,3757,5
"4796",74,3941,5
"4797",74,3994,5
"4801",75,82,5
"4802",75,93,5
"4804",75,104,5
"4805",75,118,7
"4806",75,120,4
"4807",75,121,5
"4808",75,135,4
"4809",75,137,5
"4810",75,151,5
"4811",75,152,7
"4812",75,162,7
"4813",75,173,5
"4814",75,180,4
"4815",75,181,5
"4816",75,186,5
"4817",75,196,7
"4818",75,203,3
"4819",75,209,4
"4820",75,211,5
"4821",75,220,5
"4822",75,222,4
"4823",75,226,4
"4824",75,237,4
"4830",75,270,6
"4836",75,291,6
"4837",75,300,4
"4840",75,311,4
"4841",75,312,6
"4843",75,325,6
"4846",75,341,7
"4847",75,346,7
"4848",75,347,4
"4849",75,354,6
"4850",75,361,7
"4851",75,365,6
"4854",75,377,6
"4857",75,393,6
"4858",75,402,6
"4860",75,413,6
"4861",75,420,6
"4862",75,421,7
