"","V1","V2","V3"
"40924",1180,1498,4
"40925",1180,1543,6
"40926",1180,1555,6
"40930",1180,1620,4
"40932",1180,1694,4
"40933",1180,1704,6
"40935",1180,1730,6
"40936",1180,1744,6
"40937",1180,1759,6
"40938",1180,1763,8
"40941",1180,1797,6
"40942",1180,1799,7
"40944",1180,1828,6
"40946",1180,1846,6
"40949",1180,1875,6
"40950",1180,1896,5
"40953",1180,1923,7
"40954",1180,1947,7
"40957",1180,1966,7
"40959",1180,1986,5
"40961",1180,2006,7
"40965",1180,2069,7
"40968",1180,2107,3
"40969",1180,2118,7
"40971",1180,2141,5
"40972",1180,2158,7
"40975",1180,2192,4
"40976",1180,2196,5
"40977",1180,2211,8
"40978",1180,2230,7
"40979",1180,2242,5
"40982",1180,2295,7
"40984",1180,2327,5
"40985",1180,2332,6
"40986",1180,2340,5
"40988",1180,2381,5
"40989",1180,2389,5
"40990",1180,2413,4
"40991",1180,2418,5
"40992",1180,2452,6
"40994",1180,2488,3
"40995",1180,2498,6
"40997",1180,2512,8
"40998",1180,2523,5
"40999",1180,2535,7
"41000",1180,2585,6
"41001",1180,2607,8
"41002",1180,2682,8
"41003",1180,2701,7
"41004",1180,2827,5
"41005",1180,2835,7
"41008",1180,2857,5
"41010",1180,2877,3
"41011",1180,2880,5
"41012",1180,2897,3
"41013",1180,2908,6
"41014",1180,2915,8
"41015",1180,2919,7
"41019",1180,2954,7
"41020",1180,2984,5
"41025",1180,3029,7
"41031",1180,3085,6
"41032",1180,3134,6
"41034",1180,3261,5
"41037",1180,3341,5
"41040",1180,3375,7
"41041",1180,3380,5
"41042",1180,3388,4
"41043",1180,3415,5
"41045",1180,3435,5
"41046",1180,3443,7
"41047",1180,3486,5
"41048",1180,3488,6
"41049",1180,3524,5
"41051",1180,3570,5
"41053",1180,3626,7
"41054",1180,3746,5
"41055",1180,3757,7
"41063",1180,3941,7
"41064",1180,3994,7
"41068",1185,1203,4
"41070",1185,1227,4
"41072",1185,1268,4
"41073",1185,1274,7
"41074",1185,1368,5
"41077",1185,1419,4
"41078",1185,1437,3
"41079",1185,1465,7
"41080",1185,1486,5
"41081",1185,1492,4
"41082",1185,1498,5
"41083",1185,1543,5
"41084",1185,1555,5
"41088",1185,1620,5
"41090",1185,1694,7
"41091",1185,1704,5
"41093",1185,1730,7
"41094",1185,1744,3
"41095",1185,1759,5
"41096",1185,1763,7
"41099",1185,1797,5
"41100",1185,1799,4
"41102",1185,1828,7
"41104",1185,1846,9
"41107",1185,1875,7
"41108",1185,1896,6
"41111",1185,1923,6
"41112",1185,1947,6
"41115",1185,1966,6
"41117",1185,1986,6
"41119",1185,2006,8
"41123",1185,2069,6
"41126",1185,2107,6
"41127",1185,2118,6
"41129",1185,2141,8
"41130",1185,2158,8
"41133",1185,2192,7
"41134",1185,2196,6
"41135",1185,2211,5
"41136",1185,2230,6
"41137",1185,2242,6
"41140",1185,2295,6
"41142",1185,2327,6
"41143",1185,2332,5
"41144",1185,2340,6
"41146",1185,2381,6
"41147",1185,2389,6
"41148",1185,2413,7
"41149",1185,2418,6
"41150",1185,2452,5
"41152",1185,2488,6
"41153",1185,2498,7
"41155",1185,2512,5
"41156",1185,2523,6
"41157",1185,2535,6
"41158",1185,2585,3
"41159",1185,2607,5
"41160",1185,2682,3
"41161",1185,2701,6
"41162",1185,2827,6
"41163",1185,2835,4
"41166",1185,2857,6
"41168",1185,2877,8
"41169",1185,2880,6
"41170",1185,2897,8
"41171",1185,2908,5
"41172",1185,2915,9
"41173",1185,2919,8
"41177",1185,2954,4
"41178",1185,2984,6
"41183",1185,3029,8
"41189",1185,3085,5
"41190",1185,3134,7
"41192",1185,3261,6
"41195",1185,3341,4
"41198",1185,3375,8
"41199",1185,3380,6
"41200",1185,3388,9
"41201",1185,3415,6
"41203",1185,3435,6
"41204",1185,3443,8
"41205",1185,3486,6
"41206",1185,3488,5
"41207",1185,3524,4
"41209",1185,3570,6
"41211",1185,3626,4
"41212",1185,3746,4
"41213",1185,3757,4
"41221",1185,3941,6
"41222",1185,3994,4
"41227",1203,1227,6
"41229",1203,1268,6
"41230",1203,1274,5
"41231",1203,1368,7
"41234",1203,1419,6
"41235",1203,1437,5
"41236",1203,1465,5
"41237",1203,1486,5
"41238",1203,1492,6
"41239",1203,1498,7
"41240",1203,1543,7
"41241",1203,1555,5
"41245",1203,1620,7
"41247",1203,1694,5
"41248",1203,1704,5
"41250",1203,1730,7
"41251",1203,1744,5
"41252",1203,1759,5
"41253",1203,1763,3
"41256",1203,1797,7
"41257",1203,1799,6
"41259",1203,1828,7
"41261",1203,1846,7
"41264",1203,1875,7
"41265",1203,1896,6
"41268",1203,1923,4
"41269",1203,1947,6
"41272",1203,1966,6
"41274",1203,1986,6
"41276",1203,2006,6
"41280",1203,2069,6
"41283",1203,2107,6
"41284",1203,2118,6
"41286",1203,2141,6
"41287",1203,2158,8
"41290",1203,2192,7
"41291",1203,2196,4
"41292",1203,2211,5
"41293",1203,2230,4
"41294",1203,2242,6
"41297",1203,2295,6
"41299",1203,2327,4
"41300",1203,2332,7
"41301",1203,2340,6
"41303",1203,2381,4
"41304",1203,2389,6
"41305",1203,2413,5
"41306",1203,2418,6
"41307",1203,2452,5
"41309",1203,2488,6
"41310",1203,2498,7
"41312",1203,2512,7
"41313",1203,2523,6
"41314",1203,2535,6
"41315",1203,2585,5
"41316",1203,2607,5
"41317",1203,2682,5
"41318",1203,2701,4
"41319",1203,2827,6
"41320",1203,2835,6
"41323",1203,2857,6
"41325",1203,2877,6
"41326",1203,2880,8
"41327",1203,2897,6
"41328",1203,2908,7
"41329",1203,2915,7
"41330",1203,2919,6
"41334",1203,2954,6
"41335",1203,2984,6
"41340",1203,3029,6
"41346",1203,3085,7
"41347",1203,3134,7
"41349",1203,3261,6
"41352",1203,3341,6
"41355",1203,3375,6
"41356",1203,3380,8
"41357",1203,3388,9
"41358",1203,3415,8
"41360",1203,3435,8
"41361",1203,3443,4
"41362",1203,3486,6
"41363",1203,3488,7
"41364",1203,3524,6
"41366",1203,3570,6
"41368",1203,3626,6
"41369",1203,3746,6
"41370",1203,3757,6
"41378",1203,3941,6
"41379",1203,3994,6
"41540",1227,1268,6
"41541",1227,1274,5
"41542",1227,1368,5
"41545",1227,1419,4
"41546",1227,1437,5
"41547",1227,1465,7
"41548",1227,1486,5
"41549",1227,1492,4
"41550",1227,1498,5
"41551",1227,1543,7
"41552",1227,1555,7
"41556",1227,1620,5
"41558",1227,1694,5
"41559",1227,1704,5
"41561",1227,1730,5
"41562",1227,1744,7
"41563",1227,1759,7
"41564",1227,1763,7
"41567",1227,1797,9
"41568",1227,1799,6
"41570",1227,1828,5
"41572",1227,1846,7
"41575",1227,1875,5
"41576",1227,1896,6
"41579",1227,1923,6
"41580",1227,1947,4
"41583",1227,1966,6
"41585",1227,1986,4
"41587",1227,2006,6
"41591",1227,2069,6
"41594",1227,2107,6
"41595",1227,2118,8
"41597",1227,2141,6
"41598",1227,2158,6
"41601",1227,2192,9
"41602",1227,2196,8
"41603",1227,2211,7
"41604",1227,2230,6
"41605",1227,2242,4
"41608",1227,2295,6
"41610",1227,2327,6
"41611",1227,2332,5
"41612",1227,2340,6
"41614",1227,2381,8
"41615",1227,2389,6
"41616",1227,2413,7
"41617",1227,2418,6
"41618",1227,2452,7
"41620",1227,2488,6
"41621",1227,2498,5
"41623",1227,2512,7
"41624",1227,2523,4
"41625",1227,2535,6
"41626",1227,2585,5
"41627",1227,2607,5
"41628",1227,2682,5
"41629",1227,2701,6
"41630",1227,2827,6
"41631",1227,2835,8
"41634",1227,2857,6
"41636",1227,2877,6
"41637",1227,2880,8
"41638",1227,2897,6
"41639",1227,2908,7
"41640",1227,2915,9
"41641",1227,2919,8
"41645",1227,2954,8
"41646",1227,2984,8
"41651",1227,3029,8
"41657",1227,3085,7
"41658",1227,3134,5
"41660",1227,3261,4
"41663",1227,3341,6
"41666",1227,3375,6
"41667",1227,3380,6
"41668",1227,3388,5
"41669",1227,3415,4
"41671",1227,3435,4
"41672",1227,3443,6
"41673",1227,3486,6
"41674",1227,3488,9
"41675",1227,3524,6
"41677",1227,3570,4
"41679",1227,3626,4
"41680",1227,3746,6
"41681",1227,3757,6
"41689",1227,3941,6
"41690",1227,3994,6
"41848",1268,1274,5
"41849",1268,1368,5
"41852",1268,1419,4
"41853",1268,1437,5
"41854",1268,1465,7
"41855",1268,1486,5
"41856",1268,1492,4
"41857",1268,1498,3
"41858",1268,1543,5
"41859",1268,1555,5
"41863",1268,1620,5
"41865",1268,1694,5
"41866",1268,1704,7
"41868",1268,1730,7
"41869",1268,1744,5
"41870",1268,1759,3
"41871",1268,1763,7
"41874",1268,1797,7
"41875",1268,1799,4
"41877",1268,1828,7
"41879",1268,1846,7
"41882",1268,1875,7
"41883",1268,1896,6
"41886",1268,1923,8
"41887",1268,1947,6
"41890",1268,1966,4
"41892",1268,1986,6
"41894",1268,2006,6
"41898",1268,2069,8
"41901",1268,2107,4
"41902",1268,2118,6
"41904",1268,2141,6
"41905",1268,2158,4
"41908",1268,2192,7
"41909",1268,2196,4
"41910",1268,2211,9
"41911",1268,2230,6
"41912",1268,2242,6
"41915",1268,2295,4
"41917",1268,2327,6
"41918",1268,2332,5
"41919",1268,2340,6
"41921",1268,2381,6
"41922",1268,2389,8
"41923",1268,2413,5
"41924",1268,2418,4
"41925",1268,2452,7
"41927",1268,2488,6
"41928",1268,2498,7
"41930",1268,2512,7
"41931",1268,2523,6
"41932",1268,2535,6
"41933",1268,2585,7
"41934",1268,2607,7
"41935",1268,2682,3
"41936",1268,2701,8
"41937",1268,2827,6
"41938",1268,2835,8
"41941",1268,2857,8
"41943",1268,2877,6
"41944",1268,2880,8
"41945",1268,2897,6
"41946",1268,2908,7
"41947",1268,2915,7
"41948",1268,2919,6
"41952",1268,2954,8
"41953",1268,2984,6
"41958",1268,3029,8
"41964",1268,3085,5
"41965",1268,3134,5
"41967",1268,3261,6
"41970",1268,3341,4
"41973",1268,3375,4
"41974",1268,3380,4
"41975",1268,3388,7
"41976",1268,3415,6
"41978",1268,3435,4
"41979",1268,3443,8
"41980",1268,3486,6
"41981",1268,3488,7
"41982",1268,3524,4
"41984",1268,3570,4
"41986",1268,3626,6
"41987",1268,3746,6
"41988",1268,3757,6
"41996",1268,3941,6
"41997",1268,3994,6
"42001",1274,1368,4
"42004",1274,1419,7
"42005",1274,1437,6
"42006",1274,1465,6
"42007",1274,1486,4
"42008",1274,1492,5
"42009",1274,1498,4
"42010",1274,1543,6
"42011",1274,1555,8
"42015",1274,1620,6
"42017",1274,1694,6
"42018",1274,1704,6
"42020",1274,1730,6
"42021",1274,1744,6
"42022",1274,1759,6
"42023",1274,1763,6
"42026",1274,1797,8
"42027",1274,1799,5
"42029",1274,1828,4
"42031",1274,1846,4
"42034",1274,1875,6
"42035",1274,1896,5
"42038",1274,1923,9
"42039",1274,1947,7
"42042",1274,1966,5
"42044",1274,1986,7
"42046",1274,2006,7
"42050",1274,2069,7
"42053",1274,2107,5
"42054",1274,2118,7
"42056",1274,2141,3
"42057",1274,2158,5
"42060",1274,2192,6
"42061",1274,2196,5
"42062",1274,2211,6
"42063",1274,2230,5
"42064",1274,2242,7
"42067",1274,2295,5
"42069",1274,2327,3
"42070",1274,2332,6
"42071",1274,2340,5
"42073",1274,2381,3
"42074",1274,2389,3
"42075",1274,2413,4
"42076",1274,2418,5
"42077",1274,2452,6
"42079",1274,2488,7
"42080",1274,2498,6
"42082",1274,2512,8
"42083",1274,2523,3
"42084",1274,2535,5
"42085",1274,2585,8
"42086",1274,2607,8
"42087",1274,2682,6
"42088",1274,2701,7
"42089",1274,2827,5
"42090",1274,2835,7
"42093",1274,2857,9
"42095",1274,2877,5
"42096",1274,2880,9
"42097",1274,2897,5
"42098",1274,2908,6
"42099",1274,2915,8
"42100",1274,2919,5
"42104",1274,2954,9
"42105",1274,2984,7
"42110",1274,3029,7
"42116",1274,3085,6
"42117",1274,3134,4
"42119",1274,3261,7
"42122",1274,3341,5
"42125",1274,3375,7
"42126",1274,3380,3
"42127",1274,3388,6
"42128",1274,3415,3
"42130",1274,3435,5
"42131",1274,3443,7
"42132",1274,3486,5
"42133",1274,3488,6
"42134",1274,3524,7
"42136",1274,3570,5
"42138",1274,3626,5
"42139",1274,3746,3
"42140",1274,3757,5
"42148",1274,3941,7
"42149",1274,3994,7
"42155",1368,1419,7
"42156",1368,1437,4
"42157",1368,1465,6
"42158",1368,1486,4
"42159",1368,1492,5
"42160",1368,1498,4
"42161",1368,1543,8
"42162",1368,1555,8
"42166",1368,1620,4
"42168",1368,1694,6
"42169",1368,1704,4
"42171",1368,1730,6
"42172",1368,1744,6
"42173",1368,1759,8
"42174",1368,1763,10
"42177",1368,1797,8
"42178",1368,1799,7
"42180",1368,1828,6
"42182",1368,1846,6
"42185",1368,1875,6
"42186",1368,1896,5
"42189",1368,1923,9
"42190",1368,1947,5
"42193",1368,1966,7
"42195",1368,1986,7
"42197",1368,2006,9
"42201",1368,2069,7
"42204",1368,2107,3
"42205",1368,2118,7
"42207",1368,2141,5
"42208",1368,2158,5
"42211",1368,2192,6
"42212",1368,2196,5
"42213",1368,2211,8
"42214",1368,2230,7
"42215",1368,2242,5
"42218",1368,2295,7
"42220",1368,2327,5
"42221",1368,2332,4
"42222",1368,2340,5
"42224",1368,2381,5
"42225",1368,2389,5
"42226",1368,2413,6
"42227",1368,2418,7
"42228",1368,2452,4
"42230",1368,2488,5
"42231",1368,2498,6
"42233",1368,2512,6
"42234",1368,2523,7
"42235",1368,2535,9
"42236",1368,2585,8
"42237",1368,2607,10
"42238",1368,2682,8
"42239",1368,2701,7
"42240",1368,2827,5
"42241",1368,2835,7
"42244",1368,2857,9
"42246",1368,2877,5
"42247",1368,2880,9
"42248",1368,2897,7
"42249",1368,2908,6
"42250",1368,2915,10
"42251",1368,2919,9
"42255",1368,2954,7
"42256",1368,2984,7
"42261",1368,3029,9
"42267",1368,3085,4
"42268",1368,3134,4
"42270",1368,3261,5
"42273",1368,3341,3
"42276",1368,3375,7
"42277",1368,3380,3
"42278",1368,3388,4
"42279",1368,3415,5
"42281",1368,3435,5
"42282",1368,3443,7
"42283",1368,3486,3
"42284",1368,3488,6
"42285",1368,3524,5
"42287",1368,3570,5
"42289",1368,3626,5
"42290",1368,3746,5
"42291",1368,3757,7
"42299",1368,3941,7
"42300",1368,3994,5
"42603",1419,1437,5
"42604",1419,1465,5
"42605",1419,1486,5
"42606",1419,1492,6
"42607",1419,1498,5
"42608",1419,1543,7
"42609",1419,1555,5
"42613",1419,1620,5
"42615",1419,1694,3
"42616",1419,1704,5
"42618",1419,1730,5
"42619",1419,1744,3
"42620",1419,1759,3
"42621",1419,1763,7
"42624",1419,1797,7
"42625",1419,1799,6
"42627",1419,1828,7
"42629",1419,1846,7
"42632",1419,1875,5
"42633",1419,1896,6
"42636",1419,1923,4
"42637",1419,1947,4
"42640",1419,1966,6
"42642",1419,1986,4
"42644",1419,2006,6
"42648",1419,2069,6
"42651",1419,2107,4
"42652",1419,2118,10
"42654",1419,2141,6
"42655",1419,2158,8
"42658",1419,2192,7
"42659",1419,2196,6
"42660",1419,2211,9
"42661",1419,2230,8
"42662",1419,2242,6
"42665",1419,2295,6
"42667",1419,2327,6
"42668",1419,2332,5
"42669",1419,2340,6
"42671",1419,2381,6
"42672",1419,2389,8
"42673",1419,2413,7
"42674",1419,2418,6
"42675",1419,2452,7
"42677",1419,2488,4
"42678",1419,2498,7
"42680",1419,2512,7
"42681",1419,2523,4
"42682",1419,2535,6
"42683",1419,2585,3
"42684",1419,2607,5
"42685",1419,2682,5
"42686",1419,2701,4
"42687",1419,2827,6
"42688",1419,2835,6
"42691",1419,2857,4
"42693",1419,2877,4
"42694",1419,2880,8
"42695",1419,2897,4
"42696",1419,2908,7
"42697",1419,2915,9
"42698",1419,2919,8
"42702",1419,2954,6
"42703",1419,2984,6
"42708",1419,3029,6
"42714",1419,3085,7
"42715",1419,3134,7
"42717",1419,3261,4
"42720",1419,3341,6
"42723",1419,3375,6
"42724",1419,3380,8
"42725",1419,3388,7
"42726",1419,3415,6
"42728",1419,3435,6
"42729",1419,3443,8
"42730",1419,3486,6
"42731",1419,3488,9
"42732",1419,3524,6
"42734",1419,3570,6
"42736",1419,3626,6
"42737",1419,3746,6
"42738",1419,3757,6
"42746",1419,3941,8
"42747",1419,3994,6
"42751",1437,1465,4
"42752",1437,1486,4
"42753",1437,1492,5
"42754",1437,1498,6
"42755",1437,1543,6
"42756",1437,1555,6
"42760",1437,1620,4
"42762",1437,1694,4
"42763",1437,1704,6
"42765",1437,1730,6
"42766",1437,1744,4
"42767",1437,1759,6
"42768",1437,1763,8
"42771",1437,1797,6
"42772",1437,1799,7
"42774",1437,1828,6
"42776",1437,1846,8
"42779",1437,1875,6
"42780",1437,1896,5
"42783",1437,1923,7
"42784",1437,1947,5
"42787",1437,1966,7
"42789",1437,1986,7
"42791",1437,2006,7
"42795",1437,2069,7
"42798",1437,2107,3
"42799",1437,2118,9
"42801",1437,2141,5
"42802",1437,2158,7
"42805",1437,2192,6
"42806",1437,2196,5
"42807",1437,2211,6
"42808",1437,2230,7
"42809",1437,2242,7
"42812",1437,2295,5
"42814",1437,2327,5
"42815",1437,2332,6
"42816",1437,2340,7
"42818",1437,2381,7
"42819",1437,2389,7
"42820",1437,2413,6
"42821",1437,2418,5
"42822",1437,2452,4
"42824",1437,2488,5
"42825",1437,2498,8
"42827",1437,2512,8
"42828",1437,2523,5
"42829",1437,2535,9
"42830",1437,2585,6
"42831",1437,2607,8
"42832",1437,2682,6
"42833",1437,2701,7
"42834",1437,2827,5
"42835",1437,2835,5
"42838",1437,2857,7
"42840",1437,2877,5
"42841",1437,2880,7
"42842",1437,2897,7
"42843",1437,2908,6
"42844",1437,2915,10
"42845",1437,2919,9
"42849",1437,2954,5
"42850",1437,2984,5
"42855",1437,3029,9
"42861",1437,3085,4
"42862",1437,3134,6
"42864",1437,3261,3
"42867",1437,3341,5
"42870",1437,3375,7
"42871",1437,3380,5
"42872",1437,3388,6
"42873",1437,3415,7
"42875",1437,3435,5
"42876",1437,3443,7
"42877",1437,3486,5
"42878",1437,3488,6
"42879",1437,3524,7
"42881",1437,3570,5
"42883",1437,3626,5
"42884",1437,3746,5
"42885",1437,3757,3
"42893",1437,3941,9
"42894",1437,3994,3
"42898",1465,1486,8
"42899",1465,1492,7
"42900",1465,1498,4
"42901",1465,1543,6
"42902",1465,1555,4
"42906",1465,1620,6
"42908",1465,1694,4
"42909",1465,1704,6
"42911",1465,1730,4
"42912",1465,1744,4
"42913",1465,1759,6
"42914",1465,1763,6
"42917",1465,1797,8
"42918",1465,1799,7
"42920",1465,1828,6
"42922",1465,1846,6
"42925",1465,1875,6
"42926",1465,1896,5
"42929",1465,1923,5
"42930",1465,1947,5
"42933",1465,1966,7
"42935",1465,1986,5
"42937",1465,2006,5
"42941",1465,2069,5
"42944",1465,2107,5
"42945",1465,2118,9
"42947",1465,2141,3
"42948",1465,2158,7
"42951",1465,2192,6
"42952",1465,2196,3
"42953",1465,2211,8
"42954",1465,2230,7
"42955",1465,2242,7
"42958",1465,2295,5
"42960",1465,2327,7
"42961",1465,2332,6
"42962",1465,2340,7
"42964",1465,2381,3
"42965",1465,2389,7
"42966",1465,2413,6
"42967",1465,2418,7
"42968",1465,2452,6
"42970",1465,2488,5
"42971",1465,2498,8
"42973",1465,2512,6
"42974",1465,2523,5
"42975",1465,2535,7
"42976",1465,2585,6
"42977",1465,2607,8
"42978",1465,2682,8
"42979",1465,2701,3
"42980",1465,2827,5
"42981",1465,2835,7
"42984",1465,2857,5
"42986",1465,2877,3
"42987",1465,2880,5
"42988",1465,2897,5
"42989",1465,2908,6
"42990",1465,2915,8
"42991",1465,2919,7
"42995",1465,2954,7
"42996",1465,2984,5
"43001",1465,3029,5
"43007",1465,3085,6
"43008",1465,3134,8
"43010",1465,3261,5
"43013",1465,3341,5
"43016",1465,3375,7
"43017",1465,3380,7
"43018",1465,3388,6
"43019",1465,3415,7
"43021",1465,3435,5
"43022",1465,3443,7
"43023",1465,3486,5
"43024",1465,3488,6
"43025",1465,3524,7
"43027",1465,3570,7
"43029",1465,3626,7
"43030",1465,3746,5
"43031",1465,3757,3
"43039",1465,3941,5
"43040",1465,3994,7
"43044",1486,1492,5
"43045",1486,1498,4
"43046",1486,1543,6
"43047",1486,1555,8
"43051",1486,1620,4
"43053",1486,1694,4
"43054",1486,1704,6
"43056",1486,1730,4
"43057",1486,1744,6
"43058",1486,1759,6
"43059",1486,1763,8
"43062",1486,1797,6
"43063",1486,1799,7
"43065",1486,1828,6
"43067",1486,1846,4
"43070",1486,1875,6
"43071",1486,1896,5
"43074",1486,1923,9
"43075",1486,1947,7
"43078",1486,1966,5
"43080",1486,1986,5
"43082",1486,2006,7
"43086",1486,2069,7
"43089",1486,2107,3
"43090",1486,2118,7
"43092",1486,2141,5
"43093",1486,2158,5
"43096",1486,2192,8
"43097",1486,2196,7
"43098",1486,2211,6
"43099",1486,2230,5
"43100",1486,2242,5
"43103",1486,2295,3
"43105",1486,2327,3
"43106",1486,2332,4
"43107",1486,2340,3
"43109",1486,2381,5
"43110",1486,2389,7
"43111",1486,2413,6
"43112",1486,2418,3
"43113",1486,2452,6
"43115",1486,2488,3
"43116",1486,2498,4
"43118",1486,2512,8
"43119",1486,2523,5
"43120",1486,2535,5
"43121",1486,2585,8
"43122",1486,2607,6
"43123",1486,2682,6
"43124",1486,2701,7
"43125",1486,2827,7
"43126",1486,2835,7
"43129",1486,2857,7
"43131",1486,2877,5
"43132",1486,2880,9
"43133",1486,2897,5
"43134",1486,2908,4
"43135",1486,2915,6
"43136",1486,2919,5
"43140",1486,2954,7
"43141",1486,2984,7
"43146",1486,3029,9
"43152",1486,3085,6
"43153",1486,3134,4
"43155",1486,3261,5
"43158",1486,3341,7
"43161",1486,3375,5
"43162",1486,3380,5
"43163",1486,3388,4
"43164",1486,3415,3
"43166",1486,3435,3
"43167",1486,3443,3
"43168",1486,3486,5
"43169",1486,3488,8
"43170",1486,3524,5
"43172",1486,3570,3
"43174",1486,3626,7
"43175",1486,3746,5
"43176",1486,3757,7
"43184",1486,3941,7
"43185",1486,3994,7
"43189",1492,1498,5
"43190",1492,1543,5
"43191",1492,1555,5
"43195",1492,1620,5
"43197",1492,1694,5
"43198",1492,1704,3
"43200",1492,1730,5
"43201",1492,1744,5
"43202",1492,1759,5
"43203",1492,1763,7
"43206",1492,1797,7
"43207",1492,1799,4
"43209",1492,1828,7
"43211",1492,1846,7
"43214",1492,1875,7
"43215",1492,1896,4
"43218",1492,1923,6
"43219",1492,1947,4
"43222",1492,1966,4
"43224",1492,1986,6
"43226",1492,2006,4
"43230",1492,2069,4
"43233",1492,2107,4
"43234",1492,2118,6
"43236",1492,2141,6
"43237",1492,2158,6
"43240",1492,2192,7
"43241",1492,2196,6
"43242",1492,2211,7
"43243",1492,2230,6
"43244",1492,2242,8
"43247",1492,2295,8
"43249",1492,2327,4
"43250",1492,2332,5
"43251",1492,2340,6
"43253",1492,2381,6
"43254",1492,2389,6
"43255",1492,2413,7
"43256",1492,2418,6
"43257",1492,2452,5
"43259",1492,2488,6
"43260",1492,2498,7
"43262",1492,2512,5
"43263",1492,2523,6
"43264",1492,2535,6
"43265",1492,2585,5
"43266",1492,2607,5
"43267",1492,2682,5
"43268",1492,2701,6
"43269",1492,2827,4
"43270",1492,2835,6
"43273",1492,2857,6
"43275",1492,2877,6
"43276",1492,2880,8
"43277",1492,2897,8
"43278",1492,2908,7
"43279",1492,2915,7
"43280",1492,2919,6
"43284",1492,2954,8
"43285",1492,2984,6
"43290",1492,3029,6
"43296",1492,3085,5
"43297",1492,3134,5
"43299",1492,3261,4
"43302",1492,3341,6
"43305",1492,3375,4
"43306",1492,3380,6
"43307",1492,3388,7
"43308",1492,3415,6
"43310",1492,3435,4
"43311",1492,3443,6
"43312",1492,3486,6
"43313",1492,3488,9
"43314",1492,3524,4
"43316",1492,3570,6
"43318",1492,3626,4
"43319",1492,3746,4
"43320",1492,3757,4
"43328",1492,3941,8
"43329",1492,3994,6
"43333",1498,1543,6
"43334",1498,1555,6
"43338",1498,1620,4
"43340",1498,1694,4
"43341",1498,1704,4
"43343",1498,1730,6
"43344",1498,1744,4
"43345",1498,1759,4
"43346",1498,1763,6
"43349",1498,1797,6
"43350",1498,1799,7
"43352",1498,1828,4
"43354",1498,1846,4
"43357",1498,1875,6
"43358",1498,1896,7
"43361",1498,1923,7
"43362",1498,1947,5
"43365",1498,1966,5
"43367",1498,1986,7
"43369",1498,2006,5
"43373",1498,2069,7
"43376",1498,2107,3
"43377",1498,2118,7
"43379",1498,2141,3
"43380",1498,2158,5
"43383",1498,2192,6
"43384",1498,2196,5
"43385",1498,2211,8
"43386",1498,2230,7
"43387",1498,2242,5
"43390",1498,2295,5
"43392",1498,2327,5
"43393",1498,2332,6
"43394",1498,2340,3
"43396",1498,2381,3
"43397",1498,2389,7
"43398",1498,2413,4
"43399",1498,2418,7
"43400",1498,2452,6
"43402",1498,2488,5
"43403",1498,2498,6
"43405",1498,2512,4
"43406",1498,2523,5
"43407",1498,2535,5
"43408",1498,2585,6
"43409",1498,2607,6
"43410",1498,2682,6
"43411",1498,2701,5
"43412",1498,2827,3
"43413",1498,2835,5
"43416",1498,2857,5
"43418",1498,2877,5
"43419",1498,2880,7
"43420",1498,2897,3
"43421",1498,2908,6
"43422",1498,2915,6
"43423",1498,2919,5
"43427",1498,2954,7
"43428",1498,2984,7
"43433",1498,3029,7
"43439",1498,3085,4
"43440",1498,3134,6
"43442",1498,3261,3
"43445",1498,3341,3
"43448",1498,3375,3
"43449",1498,3380,5
"43450",1498,3388,6
"43451",1498,3415,5
"43453",1498,3435,5
"43454",1498,3443,7
"43455",1498,3486,7
"43456",1498,3488,6
"43457",1498,3524,7
"43459",1498,3570,7
"43461",1498,3626,7
"43462",1498,3746,5
"43463",1498,3757,5
"43471",1498,3941,5
"43472",1498,3994,5
"43476",1543,1555,4
"43480",1543,1620,4
"43482",1543,1694,4
"43483",1543,1704,6
"43485",1543,1730,4
"43486",1543,1744,6
"43487",1543,1759,6
"43488",1543,1763,6
"43491",1543,1797,4
"43492",1543,1799,3
"43494",1543,1828,6
"43496",1543,1846,6
"43499",1543,1875,6
"43500",1543,1896,7
"43503",1543,1923,7
"43504",1543,1947,5
"43507",1543,1966,5
"43509",1543,1986,7
"43511",1543,2006,7
"43515",1543,2069,3
"43518",1543,2107,7
"43519",1543,2118,5
"43521",1543,2141,3
"43522",1543,2158,7
"43525",1543,2192,8
"43526",1543,2196,7
"43527",1543,2211,8
"43528",1543,2230,7
"43529",1543,2242,5
"43532",1543,2295,7
"43534",1543,2327,7
"43535",1543,2332,6
"43536",1543,2340,5
"43538",1543,2381,5
"43539",1543,2389,5
"43540",1543,2413,8
"43541",1543,2418,5
"43542",1543,2452,8
"43544",1543,2488,5
"43545",1543,2498,6
"43547",1543,2512,6
"43548",1543,2523,7
"43549",1543,2535,5
"43550",1543,2585,6
"43551",1543,2607,6
"43552",1543,2682,6
"43553",1543,2701,7
"43554",1543,2827,7
"43555",1543,2835,7
"43558",1543,2857,7
"43560",1543,2877,7
"43561",1543,2880,7
"43562",1543,2897,7
"43563",1543,2908,6
"43564",1543,2915,8
"43565",1543,2919,7
"43569",1543,2954,5
"43570",1543,2984,5
"43575",1543,3029,5
"43581",1543,3085,4
"43582",1543,3134,6
"43584",1543,3261,5
"43587",1543,3341,7
"43590",1543,3375,7
"43591",1543,3380,7
"43592",1543,3388,8
"43593",1543,3415,7
"43595",1543,3435,7
"43596",1543,3443,7
"43597",1543,3486,7
"43598",1543,3488,6
